username,text
Gossip Cop,George Clooney And Brad Pitt Feuding Over Julia Roberts?https://www.gossipcop.com/george-clooney-and-brad-pitt-feuding-over-julia-roberts/2549189 …
Gossip Cop,"Have We Figured Out Who RMR, The Viral Masked 'Rascal' Rapper, Is?https://www.gossipcop.com/have-we-figured-who-the-viral-masked-rascal-rapper-is/2549232 …"
Gossip Cop,"Truth About Will Smith, Jada Pinkett Smith’s ‘Open Relationship’https://www.gossipcop.com/truth-about-will-smith-jada-pinkett-smiths-open-relationship/2549291 …"
Gossip Cop,What Happened To Jennifer Garner Starring In A Biopic About Melania Trump?https://www.gossipcop.com/what-happened-to-jennifer-garner-starring-in-a-biopic-about-melania-trump/2549180 …
Gossip Cop,Prince William Confirms Kate Middleton Pregnant With Fourth Baby?https://www.gossipcop.com/prince-william-confirms-kate-middleton-pregnant-with-fourth-baby/2549154 …
Gossip Cop,Truth About Matt Damon Ditching Ben Affleck As A Friendhttps://www.gossipcop.com/truth-about-matt-damon-ditching-ben-affleck-as-a-friend/2549211 …
Gossip Cop,"Justin Timberlake, Jessica Biel Headed For $250 Million Divorce?https://www.gossipcop.com/justin-timberlake-jessica-biel-headed-for-250-million-divorce/2549200 …"
SandyL,Con!
Gossip Cop,Kim Kardashian Planning To Adopt A Child Without Kanye West?https://www.gossipcop.com/kim-kardashian-planning-to-adopt-a-child-without-kanye-west/2549170 …
Gossip Cop,Brad Pitt Going On Dates With Geena Davis?https://www.gossipcop.com/brad-pitt-going-on-dates-with-geena-davis/2549163 …
PhysGraffiti,guess he found out she isn't a man BABY!
Gossip Cop,"Ryan Seacrest Not Marrying Shayna Taylor, Despite Taboid Claimhttps://www.gossipcop.com/ryan-seacrest-not-marrying-shayna-taylor-despite-taboid-claim/2549188 …"
Gossip Cop,Will Smith and Jada Pinkett-Smith Fighting With Jennifer Lopez and Alex Rodriguez Over Buying A Miami Sports Team?https://www.gossipcop.com/will-smith-and-jada-pinkett-smith-fighting-with-jennifer-lopez-and-alex-rodriguez-over-buying-a-miami-sports-team/2549070 …
Gossip Cop,Were Lady Gaga And Jennifer Lawrence Competing To Star In 'Nightmare Alley' With Bradley Cooper?https://www.gossipcop.com/were-lady-gaga-and-jennifer-lawrence-competing-to-star-in-nightmare-alley-with-bradley-cooper/2549090 …
Faye Brooks,"Gossips, Look in the Mirror, focus on person who's  looking back at you"
Gossip Cop,Prince Harry Fled Los Angeles Without Meghan Markle?https://www.gossipcop.com/prince-harrysecretly-returned-to-uk-without-meghan-markle/2549104 …
Gossip Cop,What You Need To Know About Gal Gadot's Husband Jaron Varsanohttps://www.gossipcop.com/what-you-need-to-know-about-gal-gadots-husband-jaron-varsano/2549105 …
Missssilulu,"Did she really try to sell a baby tombstone on @eBay 
That's creepy. We see now that she is his ""girlfriend"" she hangs out with @GwynethPaltrow If she wasn't his GF, would she be collaborating with @OscardelaRenta"
WhiteWitch,#AlexandraGrant #Scamdemic #ScamAlert #SCAM @GossipCop #gossipcophttps://twitter.com/appropriateage/status/1277782030038827008 …
Missssilulu,https://artssummary.com/2016/06/30/bruce-conner-its-all-true-at-the-museum-of-modern-art-july-3-october-2-2016/ …
keanureevesisastalker,Con who likes to plagiarize. #alexandragrant #keanureeves #shadows #bruceconnerpic.twitter.com/3ahLKcuqEt
keanureevesisastalker,Interesting that her last name is Grant...https://www.latimes.com/archives/la-xpm-2012-apr-08-la-ca-watts-house-project-20120408-story.html …
keanureevesisastalker,Conpic.twitter.com/4YlXoUsbBo
Gossip Cop,"Matthew McConaughey, Guy Fieri’s Friendship Is Straight Out Of Flavortownhttps://www.gossipcop.com/matthew-mcconaughey-guy-fieris-friendship-is-straight-out-of-flavortown/2549098 …"
