username,text
JPaulette,"And when did that stop anyone wishing to show up in public armed, concealed or otherwise?"
AYR AMERYCA 👑,"Also, there's no president"
Juan S. Gonzalez,"⁦@PolitiFact⁩ on ⁦@SenRickScott⁩’s misleading attack on Biden about Castro, Madurohttps://www.politifact.com/factchecks/2020/jul/01/rick-scott/scotts-misleading-attack-biden-about-castro-maduro/ …"
Clifford Gowen,Nancy is just a terrorist for the liberals
PolitiFact,A viral image claims that wearing a mask in public threatens the rights of people who are licensed to carry guns. That’s False. There is no nationwide law banning carrying a concealed weapon while wearing a mask.https://bit.ly/3eQANmJ 
💧🔥Richard Bean,".@snopes @politifact @aoc ""In capitalism man exploits man. In socialism it is just the reverse"" - John Kenneth Galbraith, 18 May 1958, quoting the rector of a Polish state university. So it's more than just ""attributed"", it was him quoting someone else http://findit.library.yale.edu/images_layout/fullview?parentoid=11787155 …pic.twitter.com/tDuedodZDg"
Susan Goold,@PolitiFact
Ryan Michael Oakland,"https://www.politifact.com/factchecks/2020/jun/29/viral-image/biden-said-without-orderly-integration-his-childre/ … What a disgusting whitewashing of history by @politifact. Bending over backwards to put this comment “in context”, something they gleefully disregard with Trump quotes. I dont love Trump but the hypocrisy of the left and media is making this an easy choice"
David Lewis,http://laht.com/article.asp?ArticleId=2367640&CategoryId=10717 …
PolitiFact,"Surprise, surprise: We're SO busy this election year! And we'd love your help! PolitiFact is hiring a six-month contract reporter to help us cover the final months of the election. Apply by July 10: https://mediajobs.poynter.org/job-details/22639/reporting-for-politifact/ … #journalismjobs"
Mason Dorrbecker,It's been circulating Facebook for the last week or so.
Mason Dorrbecker,You clearly are.
Christine O,Glad you’re back on the job
John Hummel,"When someone has to lie to make a point, it says more about how weak they are. So when I see “Did you know this person disrespected MURICA” - usually they’re lying or have been lied to. People should use that as a rule of thumb."
Amy Hollyfield,"Before you watch @HamiltonMusical, get a read on the truth behind it from @PolitiFact https://www.politifact.com/article/2020/jul/01/fact-checking-hamilton-musical/ …"
Doc_Ed A.,@PolitiFact is a Pulitzer award winning fact finding site and your guy is known for committing MEDICARE fraud
PolitiFact,A viral Facebook post claimed Gov. Tony Evers “removed the American flag from the Capitol building.” @PolitiFactWisc researched the origin of the photo presented as proof and rated the claim Pants on Fire!https://bit.ly/2D0g6qE 
Bill McCarthy,"Who lives, who dies, who fact-checks your story? I fact-checked @HamiltonMusical for @PolitiFact and probably re-memorized every song in the process. http://bit.ly/2VEG4GJ pic.twitter.com/em2bAi8a1R"
BethanyW.MT,"@SenRickScott is a welfare fraud criminal, why interview someone with so little integrity?"
Kelley,"“Mask not what your country can do for you – Mask what you can do for your country,” 

JFK’s inaugural address inspired children and adults to see the importance of civic action & public service."
¯\_(ツ)_/¯,https://tanks-alot.co.uk/military-vehicles-for-sale/ …
¯\_(ツ)_/¯,Whataboutism is exactly what your first post was.
Mason Dorrbecker,You're just mad they won't kowtow to your delusion.
¯\_(ツ)_/¯,"""allowing Russia to pay the taliban to murder our troops""

http://www.nbcnews.com/id/39014669/ns/world_news-south_and_central_asia/t/report-iran-pays-each-us-soldier-killed-taliban/#.XvvFtOcpCHs …

This was in 2010.  Obama's response was to give Iran billions of dollar in cash.  Your response?

""sincere ignorance and conscientious stupidity"""
Robert Weinstein,"This is Mistly False cause Biden never talked about schools as a racial jungle. Biden talked about neighborhoods, housing. The so called quote is not remotely correct. Rating: Mostly False"
Jeremy Collins of PodcastsWeListenTo™,"LOL! For you to call me ignorant and say I need education, without having met me, speaks volumes. But carry on. I don’t need you to validate me."
(((Alan Tonelson))),This new @PolitiFact report on whether #Biden is right & #Trump has lost the #China #tradewar is utter garbage.  All experts quoted are card-carrying #trade cheerleaders - along w/the authors of the studies cited:  https://www.politifact.com/factchecks/2020/jun/30/joe-biden/did-donald-trump-lose-trade-war-he-started-joe-bid/ … CC @loujacobson @Poynter @Carney #facts?
John Hummel,Ah. Whataboutism. The last refuge of the scoundral.
matthew schw,"Well, Biden did tell people once to illegally fire their shotguns in the air and through the door, so maybe it’s good that we point this out."
matthew schw,"To be fair, Biden did  helplead us into Iraq, and the Obama Administration knowingly deceived the public about Afghanastan."
matthew schw,"To be fair, Biden did give us illegal advice on shotguns, so maybe they should inform us before someone takes his advice."
matthew schw,"You can even get Machine Guns, but you have to wait about a year and shell out a few thousand dollars."
Servant Moselane Sello Jan,@SABCNews @CapricornFMNews @SABreakingNews @eNCA @SowetanLIVE @SundayTimesZA @Thapelolekgowa @NoordelikeNuus @polokwanenews @Waterbergnews @LephalaleSb @LephalaleExpres @ntshebele_news @Newzroom405 @politico @CNNPolitics @Politics_Polls @BBCPolitics @PolitiFact @nprpoliticspic.twitter.com/pUMzEUU52h
Dennis Harrison,You undoubtedly watch the liberal media spreading the Deep State propaganda. I can understand your ignorance in the importance of Trump continuing another 4 years.However I hope you can educate yourself by listening to the Conservative facts. MAGA 
Artimus Branesample,"No doy.
At best, we're paying interest on money we had to borrow from China to cover farmers' losses to save face domestically with his 38% majority."
Fake News Patroller,Debunked! The Vatican does NOT strengthen Trump's combover #fake #botactivity #debunked @PolitiFact #twitterabuse #fakenewspic.twitter.com/s0fgJnqolr
Amanda,"No. Using trade as a way to stand up to them is started a trade war. What you're doing is justifying WHY he started it. 

Trump put our manufacturers and farmers on the front line and started it. Prior to that it was IP theft. Something most farmers don't have to worry about."
Pierie Delecto-Spartacus-Carlos Danger-Corn Pop,"Hey shitfacts, if increased testing isn't happening how is there an increase in positive cases?  Are you fucking stupid? Or do you think we are?"
