title,label
Card Penalty Fees Soften Slightly In 2010,REAL
"Smoking In Cars With Children Is Illegal Starting January 30, 2018",FAKE
Wife of Las Vegas massacre victim: ‘He saved my life and lost his’,FAKE
New Law Makes it Illegal to Shower and Do Laundry on Same Day,FAKE
Twitter Caught Leaking Donald Trump's Private Messages in Undercover Sting,FAKE
Tim Kaine's Speech in Spanish at an Arizona Rally: Read Now,REAL
'This Week' Transcript: Biden,REAL
Arizona Department of Public Safety,REAL
Organizing for Action,REAL
Senate Democrats Demand Supreme Court Nominee Not Be Unduly Influenced By U.S. Constitution,FAKE
Remarks by the President on Oil and Gas Subsidies,REAL
"For Education Secretary, Stimulus Means Dollars and Risk",REAL
Remarks by the President on the American Jobs Act,REAL
Interview with Rudy Giuliani,REAL
Browse Congressional Bills,REAL
“Dictionary” on President Obama’s Health Care Taxes,REAL
The Economic Burden Caused by Tax Code Complexity,REAL
Palin tries new tactic to unload hated jet: Gov. Sarah Palin background,REAL
British Politician Beaten by Protestors for 'Welcoming Trump to the UK',FAKE
Senate Democrats news conference on the Senate Climate Action Task Force,REAL
It’s Time for the Senate to Do Its Job – Congressman Mike Honda – Medium,REAL
2008 Presidential Election,REAL
Target Recalls Water Absorbing Toys Due to Serious Ingestion Hazard,FAKE
Senator Bernie Sanders on Democratic Socialism in the United States,REAL
Web Ad A Tale of Two Mitts,REAL
a director of research for the foreign policy program at the Brookings Institution,REAL
Transcript Briefing by Press Secretary Robert Gibbs,REAL
"Nancy Pelosi, Wicked Witch of the West",REAL
Transcript: Interview with Donald Trump,REAL
Trump Orders 13 Obama Deep State Operatives Arrested For Treason,FAKE
Births: Preliminary Data for 2005,REAL
Civil War Erupts In Sweden as Irate Swedes Burn Nine Muslim Refugee Centers to the Ground,FAKE
Executive Order Protecting the Nation from Foreign Terrorist Entry into the United States,REAL
"Obama for America TV Ad: ""Firms""",REAL
Children - Obama for America TV Ad,REAL
"OFFICIAL: Rudy Giuliani Officially Resigns, Trump’s Legal Team on Its Last Leg",FAKE
Let’s Not Be Civil,REAL
Obama Orders Life-Sized Bronze Statute of Himself To Be Permanently Installed in White House,FAKE
Congressman Pence Discusses House Republican Energy Bill on MSNBC's Morning Joe,REAL
Libtard Hero Al Franken Forced To Resign In Disgrace,FAKE
"Donald Trump, Billy Bush: Interview Scrambles Race",REAL
Giuliani in New Hampshire,REAL
United Airlines Flight Attendant Slaps Crying Baby During Flight,FAKE
Summary of the Affordable Care Act,REAL
Democratic National Convention Committee,REAL
AFP: McCain renews attacks on Obama links to radical,REAL
FY 2010 President's Budget,REAL
TG-162: Treasury Announces $68 Billion in Expected CPP Repayments,REAL
Jimmy Carter: “Medical Marijuana Cured My Cancer”,FAKE
All Nobel Peace Prizes,REAL
President Barack Obama in Portsmouth Town Hall,REAL
Transcripts,REAL
MoveOn.org Political Action: 10 things to know about McCain,REAL
New Jersey Police Chief Says Black People ‘Have No Value’ And Should All Be Executed,FAKE
Black Men Arrested In Philadelphia Starbucks Settle For $2 Million,FAKE
BREAKING: Federal Judge Grants Permission To Subpoena Trump,FAKE
Mueller Will Be Forced To Resign Over Pelosi Affair,FAKE
The early catastrophe,REAL
Rand Paul Campaigns in Iowa for Miller-Meeks,REAL
UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -,FAKE
A comprehensive investigation of voter impersonation finds 31 credible incidents out of one billion ballots cast,REAL
Jim DeMint on Twitter,REAL
Barack Obama on Twitter,REAL
Dr. James Dobson,REAL
Alabama football Crimson Tide disqualified from national championship,FAKE
Session Law,REAL
alternativemediasyndicate.com,FAKE
Political TV Ad Archive » PolAd,REAL
Analysis of the 2008 Presidential Candidates’ Tax Plans,REAL
Remarks by the President on the Resurgence of the American Auto Industry,REAL
 What Adam Sandler is saying about Mormons,FAKE
One in Four – Congressman Joe Pitts – Medium,REAL
Obama Goes To G20 Summit,FAKE
WATCH LIVE: Tim Kaine and Corey Stewart meet for first U.S. Senate debate in Virginia,REAL
Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,REAL
"GOP Task Force, Lone Democrat Eye Trafficking Law",REAL
Transcript: NPR's Full Interview With Sen. Marco Rubio,REAL
