screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
GossipCop,Gossip Cop,25701904,1278435790587080704,/GossipCop/status/1278435790587080704,2020-07-01 21:10:19,1593637819,George Clooney And Brad Pitt Feuding Over Julia Roberts?https://www.gossipcop.com/george-clooney-and-brad-pitt-feuding-over-julia-roberts/2549189 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">George Clooney And Brad Pitt Feuding Over Julia Roberts?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/george-clooney-and-brad-pitt-feuding-over-julia-roberts/2549189"" dir=""ltr"" href=""https://t.co/CTwtabbTzg"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/george-clooney-and-brad-pitt-feuding-over-julia-roberts/2549189""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/george-clooney</span><span class=""invisible"">-and-brad-pitt-feuding-over-julia-roberts/2549189</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/george-clooney-and-brad-pitt-feuding-over-julia-roberts/2549189'],[],False,[],,1,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1278405540989853700,/GossipCop/status/1278405540989853700,2020-07-01 19:10:07,1593630607,"Have We Figured Out Who RMR, The Viral Masked 'Rascal' Rapper, Is?https://www.gossipcop.com/have-we-figured-who-the-viral-masked-rascal-rapper-is/2549232 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Have We Figured Out Who RMR, The Viral Masked 'Rascal' Rapper, Is?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/have-we-figured-who-the-viral-masked-rascal-rapper-is/2549232"" dir=""ltr"" href=""https://t.co/OU5jFrqGFq"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/have-we-figured-who-the-viral-masked-rascal-rapper-is/2549232""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/have-we-figure</span><span class=""invisible"">d-who-the-viral-masked-rascal-rapper-is/2549232</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/have-we-figured-who-the-viral-masked-rascal-rapper-is/2549232'],[],False,[],,0,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1278360274999939072,/GossipCop/status/1278360274999939072,2020-07-01 16:10:15,1593619815,"Truth About Will Smith, Jada Pinkett Smith’s ‘Open Relationship’https://www.gossipcop.com/truth-about-will-smith-jada-pinkett-smiths-open-relationship/2549291 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Truth About Will Smith, Jada Pinkett Smith’s ‘Open Relationship’<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/truth-about-will-smith-jada-pinkett-smiths-open-relationship/2549291"" dir=""ltr"" href=""https://t.co/BN9wMutrcA"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/truth-about-will-smith-jada-pinkett-smiths-open-relationship/2549291""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/truth-about-wi</span><span class=""invisible"">ll-smith-jada-pinkett-smiths-open-relationship/2549291</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/truth-about-will-smith-jada-pinkett-smiths-open-relationship/2549291'],[],False,[],,1,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1278345139178668032,/GossipCop/status/1278345139178668032,2020-07-01 15:10:06,1593616206,What Happened To Jennifer Garner Starring In A Biopic About Melania Trump?https://www.gossipcop.com/what-happened-to-jennifer-garner-starring-in-a-biopic-about-melania-trump/2549180 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What Happened To Jennifer Garner Starring In A Biopic About Melania Trump?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/what-happened-to-jennifer-garner-starring-in-a-biopic-about-melania-trump/2549180"" dir=""ltr"" href=""https://t.co/57vE5zCO7T"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/what-happened-to-jennifer-garner-starring-in-a-biopic-about-melania-trump/2549180""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/what-happened-</span><span class=""invisible"">to-jennifer-garner-starring-in-a-biopic-about-melania-trump/2549180</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/what-happened-to-jennifer-garner-starring-in-a-biopic-about-melania-trump/2549180'],[],False,[],,1,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1278194187184287745,/GossipCop/status/1278194187184287745,2020-07-01 05:10:16,1593580216,Prince William Confirms Kate Middleton Pregnant With Fourth Baby?https://www.gossipcop.com/prince-william-confirms-kate-middleton-pregnant-with-fourth-baby/2549154 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Prince William Confirms Kate Middleton Pregnant With Fourth Baby?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/prince-william-confirms-kate-middleton-pregnant-with-fourth-baby/2549154"" dir=""ltr"" href=""https://t.co/3FS9cmy9Df"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/prince-william-confirms-kate-middleton-pregnant-with-fourth-baby/2549154""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/prince-william</span><span class=""invisible"">-confirms-kate-middleton-pregnant-with-fourth-baby/2549154</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/prince-william-confirms-kate-middleton-pregnant-with-fourth-baby/2549154'],[],False,[],,2,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1278164037210189824,/GossipCop/status/1278164037210189824,2020-07-01 03:10:28,1593573028,Truth About Matt Damon Ditching Ben Affleck As A Friendhttps://www.gossipcop.com/truth-about-matt-damon-ditching-ben-affleck-as-a-friend/2549211 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Truth About Matt Damon Ditching Ben Affleck As A Friend<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/truth-about-matt-damon-ditching-ben-affleck-as-a-friend/2549211"" dir=""ltr"" href=""https://t.co/QREBiXzCrc"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/truth-about-matt-damon-ditching-ben-affleck-as-a-friend/2549211""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/truth-about-ma</span><span class=""invisible"">tt-damon-ditching-ben-affleck-as-a-friend/2549211</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/truth-about-matt-damon-ditching-ben-affleck-as-a-friend/2549211'],[],False,[],,1,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1278133750891757574,/GossipCop/status/1278133750891757574,2020-07-01 01:10:07,1593565807,"Justin Timberlake, Jessica Biel Headed For $250 Million Divorce?https://www.gossipcop.com/justin-timberlake-jessica-biel-headed-for-250-million-divorce/2549200 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Justin Timberlake, Jessica Biel Headed For $250 Million Divorce?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/justin-timberlake-jessica-biel-headed-for-250-million-divorce/2549200"" dir=""ltr"" href=""https://t.co/SoFY0A2Fyq"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/justin-timberlake-jessica-biel-headed-for-250-million-divorce/2549200""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/justin-timberl</span><span class=""invisible"">ake-jessica-biel-headed-for-250-million-divorce/2549200</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/justin-timberlake-jessica-biel-headed-for-250-million-divorce/2549200'],[],False,[],,0,1,0,False,False,,[]
SBrewY,SandyL,865352042,1278117535284703236,/SBrewY/status/1278117535284703236,2020-07-01 00:05:41,1593561941,Con!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und"">Con!</p>",[],[],False,[],,0,0,0,False,True,1277741180021870593,"[{'screen_name': 'GossipCop', 'user_id': '25701904'}]"
GossipCop,Gossip Cop,25701904,1278103575344959489,/GossipCop/status/1278103575344959489,2020-06-30 23:10:13,1593558613,Kim Kardashian Planning To Adopt A Child Without Kanye West?https://www.gossipcop.com/kim-kardashian-planning-to-adopt-a-child-without-kanye-west/2549170 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Kim Kardashian Planning To Adopt A Child Without Kanye West?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/kim-kardashian-planning-to-adopt-a-child-without-kanye-west/2549170"" dir=""ltr"" href=""https://t.co/Va7K0Kn908"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/kim-kardashian-planning-to-adopt-a-child-without-kanye-west/2549170""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/kim-kardashian</span><span class=""invisible"">-planning-to-adopt-a-child-without-kanye-west/2549170</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/kim-kardashian-planning-to-adopt-a-child-without-kanye-west/2549170'],[],False,[],,0,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1278058354586390528,/GossipCop/status/1278058354586390528,2020-06-30 20:10:31,1593547831,Brad Pitt Going On Dates With Geena Davis?https://www.gossipcop.com/brad-pitt-going-on-dates-with-geena-davis/2549163 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Brad Pitt Going On Dates With Geena Davis?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/brad-pitt-going-on-dates-with-geena-davis/2549163"" dir=""ltr"" href=""https://t.co/z4MCVvk20a"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/brad-pitt-going-on-dates-with-geena-davis/2549163""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/brad-pitt-goin</span><span class=""invisible"">g-on-dates-with-geena-davis/2549163</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/brad-pitt-going-on-dates-with-geena-davis/2549163'],[],False,[],,0,0,0,False,False,,[]
