screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
jpaulette,JPaulette,14909703,1278475496976723968,/jpaulette/status/1278475496976723968,2020-07-01 23:48:06,1593647286,"And when did that stop anyone wishing to show up in public armed, concealed or otherwise?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">And when did that stop anyone wishing to show up in public armed, concealed or otherwise?</p>",[],[],False,[],,0,0,0,False,True,1278469684397039616,"[{'screen_name': 'PolitiFact', 'user_id': '8953122'}]"
7_AYR_,AYR AMERYCA 👑,36867579,1278474239587254274,/7_AYR_/status/1278474239587254274,2020-07-01 23:43:06,1593646986,"Also, there's no president","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Also, there's no president</p>",[],[],False,[],,1,0,0,False,True,1278469684397039616,"[{'screen_name': 'PolitiFact', 'user_id': '8953122'}]"
Cartajuanero,Juan S. Gonzalez,13011612,1278472807836459010,/Cartajuanero/status/1278472807836459010,2020-07-01 23:37:24,1593646644,"⁦@PolitiFact⁩ on ⁦@SenRickScott⁩’s misleading attack on Biden about Castro, Madurohttps://www.politifact.com/factchecks/2020/jul/01/rick-scott/scotts-misleading-attack-biden-about-castro-maduro/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">⁦<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8953122"" dir=""ltr"" href=""/PolitiFact""><s>@</s><b>PolitiFact</b></a>⁩ on ⁦<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""131546062"" dir=""ltr"" href=""/SenRickScott""><s>@</s><b>SenRickScott</b></a>⁩’s misleading attack on Biden about Castro, Maduro<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.politifact.com/factchecks/2020/jul/01/rick-scott/scotts-misleading-attack-biden-about-castro-maduro/"" dir=""ltr"" href=""https://t.co/DFzpRkGdqh"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.politifact.com/factchecks/2020/jul/01/rick-scott/scotts-misleading-attack-biden-about-castro-maduro/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">politifact.com/factchecks/202</span><span class=""invisible"">0/jul/01/rick-scott/scotts-misleading-attack-biden-about-castro-maduro/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.politifact.com/factchecks/2020/jul/01/rick-scott/scotts-misleading-attack-biden-about-castro-maduro/'],[],False,[],,2,0,0,False,False,,[]
wildhalf_1,Clifford Gowen,71691647,1278471029384335360,/wildhalf_1/status/1278471029384335360,2020-07-01 23:30:20,1593646220,Nancy is just a terrorist for the liberals,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Nancy is just a terrorist for the liberals</p>",[],[],False,[],,0,0,0,False,True,1278147090670071808,"[{'screen_name': 'TimJGraham', 'user_id': '22033805'}, {'screen_name': 'newsbusters', 'user_id': '45190383'}, {'screen_name': 'PolitiFact', 'user_id': '8953122'}]"
PolitiFact,PolitiFact,8953122,1278469684397039616,/PolitiFact/status/1278469684397039616,2020-07-01 23:25:00,1593645900,A viral image claims that wearing a mask in public threatens the rights of people who are licensed to carry guns. That’s False. There is no nationwide law banning carrying a concealed weapon while wearing a mask.https://bit.ly/3eQANmJ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">A viral image claims that wearing a mask in public threatens the rights of people who are licensed to carry guns. That’s False. There is no nationwide law banning carrying a concealed weapon while wearing a mask.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://bit.ly/3eQANmJ"" dir=""ltr"" href=""https://t.co/nuJMpd7aRw"" rel=""nofollow noopener"" target=""_blank"" title=""https://bit.ly/3eQANmJ""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bit.ly/3eQANmJ</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://bit.ly/3eQANmJ'],[],False,[],,148,70,5,True,False,,[]
elahieh,💧🔥Richard Bean,48278548,1278468301845217280,/elahieh/status/1278468301845217280,2020-07-01 23:19:30,1593645570,".@snopes @politifact @aoc ""In capitalism man exploits man. In socialism it is just the reverse"" - John Kenneth Galbraith, 18 May 1958, quoting the rector of a Polish state university. So it's more than just ""attributed"", it was him quoting someone else http://findit.library.yale.edu/images_layout/fullview?parentoid=11787155 …pic.twitter.com/tDuedodZDg","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">.<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14294848"" dir=""ltr"" href=""/snopes""><s>@</s><b>snopes</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8953122"" dir=""ltr"" href=""/PolitiFact""><s>@</s><b><strong>politifact</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""138203134"" dir=""ltr"" href=""/AOC""><s>@</s><b>aoc</b></a> ""In capitalism man exploits man. In socialism it is just the reverse"" - John Kenneth Galbraith, 18 May 1958, quoting the rector of a Polish state university. So it's more than just ""attributed"", it was him quoting someone else <a class=""twitter-timeline-link"" data-expanded-url=""http://findit.library.yale.edu/images_layout/fullview?parentoid=11787155"" dir=""ltr"" href=""https://t.co/HWTgjVeooh"" rel=""nofollow noopener"" target=""_blank"" title=""http://findit.library.yale.edu/images_layout/fullview?parentoid=11787155""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">findit.library.yale.edu/images_layout/</span><span class=""invisible"">fullview?parentoid=11787155</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/tDuedodZDg"">pic.twitter.com/tDuedodZDg</a></p>",['http://findit.library.yale.edu/images_layout/fullview?parentoid=11787155'],[],True,"['https://pbs.twimg.com/media/Eb4G35FUYAAuops.png', 'https://pbs.twimg.com/media/Eb4H4zuUMAACksv.png']",,0,0,0,False,False,,[]
susangoold,Susan Goold,278681544,1278465369603280897,/susangoold/status/1278465369603280897,2020-07-01 23:07:51,1593644871,@PolitiFact,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8953122"" dir=""ltr"" href=""/PolitiFact""><s>@</s><b><strong>PolitiFact</strong></b></a></p>",[],[],False,[],,0,0,0,False,True,1277862893212495873,"[{'screen_name': 'BeccaLodahl', 'user_id': '21837897'}]"
RyanGuard28,Ryan Michael Oakland,3397342415,1278458166217408518,/RyanGuard28/status/1278458166217408518,2020-07-01 22:39:14,1593643154,"https://www.politifact.com/factchecks/2020/jun/29/viral-image/biden-said-without-orderly-integration-his-childre/ … What a disgusting whitewashing of history by @politifact. Bending over backwards to put this comment “in context”, something they gleefully disregard with Trump quotes. I dont love Trump but the hypocrisy of the left and media is making this an easy choice","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-timeline-link"" data-expanded-url=""https://www.politifact.com/factchecks/2020/jun/29/viral-image/biden-said-without-orderly-integration-his-childre/"" dir=""ltr"" href=""https://t.co/ObQqOcuNwk"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.politifact.com/factchecks/2020/jun/29/viral-image/biden-said-without-orderly-integration-his-childre/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">politifact.com/factchecks/202</span><span class=""invisible"">0/jun/29/viral-image/biden-said-without-orderly-integration-his-childre/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> What a disgusting whitewashing of history by <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8953122"" dir=""ltr"" href=""/PolitiFact""><s>@</s><b><strong>politifact</strong></b></a>. Bending over backwards to put this comment “in context”, something they gleefully disregard with Trump quotes. I dont love Trump but the hypocrisy of the left and media is making this an easy choice</p>",['https://www.politifact.com/factchecks/2020/jun/29/viral-image/biden-said-without-orderly-integration-his-childre/'],[],False,[],,0,0,0,False,False,,[]
DavidLe03181241,David Lewis,1266716847531085824,1278455237074968577,/DavidLe03181241/status/1278455237074968577,2020-07-01 22:27:35,1593642455,http://laht.com/article.asp?ArticleId=2367640&CategoryId=10717 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link"" data-expanded-url=""http://laht.com/article.asp?ArticleId=2367640&amp;CategoryId=10717"" dir=""ltr"" href=""https://t.co/MR5Os997ZK"" rel=""nofollow noopener"" target=""_blank"" title=""http://laht.com/article.asp?ArticleId=2367640&amp;CategoryId=10717""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">laht.com/article.asp?Ar</span><span class=""invisible"">ticleId=2367640&amp;CategoryId=10717</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['http://laht.com/article.asp?ArticleId=2367640&CategoryId=10717'],[],False,[],,0,0,0,False,True,1278428487565664259,"[{'screen_name': 'PolitiFact', 'user_id': '8953122'}, {'screen_name': 'greta', 'user_id': '16031927'}]"
PolitiFact,PolitiFact,8953122,1278447790142734341,/PolitiFact/status/1278447790142734341,2020-07-01 21:58:00,1593640680,"Surprise, surprise: We're SO busy this election year! And we'd love your help! PolitiFact is hiring a six-month contract reporter to help us cover the final months of the election. Apply by July 10: https://mediajobs.poynter.org/job-details/22639/reporting-for-politifact/ … #journalismjobs","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Surprise, surprise: We're SO busy this election year! And we'd love your help! PolitiFact is hiring a six-month contract reporter to help us cover the final months of the election. Apply by July 10: <a class=""twitter-timeline-link"" data-expanded-url=""https://mediajobs.poynter.org/job-details/22639/reporting-for-politifact/"" dir=""ltr"" href=""https://t.co/8Gq8hbqXvO"" rel=""nofollow noopener"" target=""_blank"" title=""https://mediajobs.poynter.org/job-details/22639/reporting-for-politifact/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">mediajobs.poynter.org/job-details/22</span><span class=""invisible"">639/reporting-for-politifact/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/journalismjobs?src=hash""><s>#</s><b>journalismjobs</b></a></p>",['https://mediajobs.poynter.org/job-details/22639/reporting-for-politifact/'],['journalismjobs'],False,[],,13,16,2,True,False,,[]
